,Unnamed: 0,Name,Age,Overall,Potential,Club,Value,Wage,Acceleration,Aggression,Ball control,Dribbling,Finishing,Shot power,Strength,Sprint speed,Stamina,Preferred Positions,Thou/Mill,Value Int,Wage Int,Preferred Position,age group,class group
1077,1077,L. Britton,34,77,77,Swansea City,€2.7M,€62K,47.0,77.0,81.0,76.0,55.0,51.0,55.0,46.0,68.0,CM CDM ,Mill,2000000.0,62000.0,CM,30-36,Pro
1076,1076,J. Van Damme,33,77,77,Royal Antwerp FC,€3.6M,€16K,59.0,93.0,67.0,65.0,50.0,77.0,94.0,69.0,87.0,LB CB ,Mill,3000000.0,16000.0,LB,30-36,Pro
1075,1075,F. Sørensen,25,77,81,1. FC Köln,€9.5M,€33K,52.0,74.0,64.0,65.0,18.0,67.0,84.0,67.0,69.0,RB CB ,Mill,9000000.0,33000.0,RB,24-30,Pro
1074,1074,M. Uth,25,77,80,TSG 1899 Hoffenheim,€11.5M,€40K,76.0,61.0,77.0,77.0,78.0,81.0,67.0,75.0,70.0,RM RW ST ,Mill,11000000.0,40000.0,RM,24-30,Pro
1073,1073,Claudio Coíntra,33,77,77,Grêmio Foot-Ball Porto Alegrense,€5.5M,€28K,87.0,42.0,76.0,75.0,73.0,74.0,57.0,74.0,75.0,CF CAM ,Mill,5000000.0,28000.0,CF,30-36,Pro
1072,1072,S. Haller,23,77,82,Eintracht Frankfurt,€12M,€30K,74.0,41.0,79.0,72.0,79.0,77.0,91.0,78.0,72.0,ST ,Mill,12000000.0,30000.0,ST,18-24,Pro
1071,1071,Formosandrinho,25,77,77,São Paulo Futebol Clube,€10M,€35K,81.0,52.0,73.0,72.0,76.0,85.0,72.0,81.0,61.0,CF ST ,Mill,10000000.0,35000.0,CF,24-30,Pro
1070,1070,Cristian Tello,25,77,78,Real Betis Balompié,€10.5M,€26K,90.0,48.0,82.0,82.0,68.0,78.0,54.0,90.0,75.0,LW RW LM RM ,Mill,10000000.0,26000.0,LW,24-30,Pro
1069,1069,Bruno Gaspar,24,77,82,Fiorentina,€10M,€48K,82.0,73.0,75.0,78.0,57.0,68.0,67.0,85.0,85.0,RB ,Mill,10000000.0,48000.0,RB,18-24,Pro
1067,1067,D. Rolán,24,77,80,Málaga CF,€11.5M,€43K,73.0,62.0,76.0,79.0,79.0,75.0,63.0,77.0,67.0,LW ST ,Mill,11000000.0,43000.0,LW,18-24,Pro
1081,1081,Sandro,21,77,85,Everton,€13.5M,€84K,76.0,62.0,81.0,75.0,84.0,80.0,68.0,75.0,65.0,ST ,Mill,13000000.0,84000.0,ST,18-24,Pro
1066,1066,C. Théréau,34,77,77,Fiorentina,€4.5M,€67K,67.0,66.0,81.0,79.0,81.0,78.0,74.0,77.0,69.0,ST LW ,Mill,4000000.0,67000.0,ST,30-36,Pro
1065,1065,S. Hanni,26,77,78,RSC Anderlecht,€10.5M,€27K,76.0,53.0,76.0,79.0,74.0,76.0,65.0,74.0,80.0,CAM LM ,Mill,10000000.0,27000.0,CA,24-30,Pro
1064,1064,V. Chiricheş,27,77,77,Napoli,€7.5M,€56K,67.0,76.0,66.0,59.0,56.0,82.0,74.0,68.0,69.0,CB ,Mill,7000000.0,56000.0,CB,24-30,Pro
1062,1062,Pedro Obiang,25,77,82,West Ham United,€10M,€79K,67.0,71.0,78.0,74.0,50.0,74.0,79.0,69.0,77.0,CM CDM ,Mill,10000000.0,79000.0,CM,24-30,Pro
1061,1061,J. Toornstra,28,77,77,Feyenoord,€9M,€20K,66.0,69.0,78.0,75.0,76.0,82.0,70.0,73.0,92.0,RW CAM ,Mill,9000000.0,20000.0,RW,24-30,Pro
1060,1060,Wallace,22,77,85,Lazio,€11.5M,€39K,67.0,79.0,52.0,45.0,21.0,40.0,83.0,71.0,62.0,CB ,Mill,11000000.0,39000.0,CB,18-24,Pro
1058,1058,Y. Chará,26,77,78,CPD Junior Barranquilla,€10.5M,€6K,93.0,57.0,73.0,79.0,77.0,70.0,69.0,91.0,76.0,CAM ST RM ,Mill,10000000.0,6000.0,CA,24-30,Pro
1057,1057,Marcos Llorente,22,77,86,Real Madrid CF,€12M,€105K,57.0,65.0,77.0,68.0,39.0,58.0,71.0,54.0,77.0,CM CDM ,Mill,12000000.0,105000.0,CM,18-24,Pro
1056,1056,N. De Préville,26,77,80,Girondins de Bordeaux,€11M,€49K,87.0,70.0,78.0,79.0,79.0,77.0,57.0,82.0,74.0,CAM LM ST ,Mill,11000000.0,49000.0,CA,24-30,Pro
1055,1055,R. Rosales,28,77,77,Málaga CF,€7M,€26K,76.0,73.0,79.0,77.0,51.0,73.0,65.0,78.0,86.0,RM RWB RB ,Mill,7000000.0,26000.0,RM,24-30,Pro
1080,1080,T. Cairney,26,77,80,Fulham,€11M,€50K,74.0,51.0,80.0,75.0,67.0,75.0,69.0,69.0,81.0,RM CAM CM ,Mill,11000000.0,50000.0,RM,24-30,Pro
1082,1082,F. Delph,27,77,78,Manchester City,€10M,€110K,76.0,82.0,79.0,83.0,63.0,80.0,66.0,72.0,88.0,CM ,Mill,10000000.0,110000.0,CM,24-30,Pro
1110,1110,S. Sturaro,24,77,82,Juventus,€11.5M,€81K,76.0,86.0,77.0,76.0,55.0,78.0,73.0,76.0,89.0,LM CM ,Mill,11000000.0,81000.0,LM,18-24,Pro
1097,1097,L. Hernández,21,77,88,Atlético Madrid,€13.5M,€36K,66.0,77.0,65.0,46.0,36.0,62.0,72.0,64.0,59.0,LB CB ,Mill,13000000.0,36000.0,LB,18-24,Pro
1108,1108,Louri Beretta,25,77,77,Fluminense Football Club,€10M,€43K,84.0,65.0,69.0,73.0,74.0,84.0,87.0,81.0,56.0,CF ST ,Mill,10000000.0,43000.0,CF,24-30,Pro
1107,1107,M. Lemos,21,77,83,UD Las Palmas,€10.5M,€17K,69.0,77.0,75.0,68.0,51.0,69.0,75.0,70.0,69.0,CDM CB ,Mill,10000000.0,17000.0,CD,18-24,Pro
1106,1106,H. Arter,27,77,78,Bournemouth,€10M,€66K,67.0,84.0,76.0,72.0,70.0,76.0,75.0,67.0,77.0,CDM CM ,Mill,10000000.0,66000.0,CD,24-30,Pro
1105,1105,Timor,27,77,78,Girona CF,€8.5M,€25K,44.0,80.0,74.0,64.0,44.0,85.0,77.0,58.0,78.0,CB CM CDM ,Mill,8000000.0,25000.0,CB,24-30,Pro
1104,1104,J. Hofmann,24,77,80,Borussia Mönchengladbach,€11.5M,€33K,79.0,43.0,77.0,79.0,69.0,67.0,56.0,79.0,72.0,CM CAM LM RM ,Mill,11000000.0,33000.0,CM,18-24,Pro
1102,1102,Y. Sabaly,24,77,81,Girondins de Bordeaux,€9.5M,€35K,74.0,67.0,72.0,74.0,33.0,43.0,67.0,77.0,77.0,RB ,Mill,9000000.0,35000.0,RB,18-24,Pro
1101,1101,Wendell,23,77,81,Bayer 04 Leverkusen,€9.5M,€41K,87.0,87.0,77.0,78.0,37.0,60.0,64.0,86.0,77.0,LB ,Mill,9000000.0,41000.0,LB,18-24,Pro
1100,1100,Vieirinha,31,77,77,PAOK Thessaloniki,€8M,€1K,77.0,74.0,80.0,83.0,73.0,75.0,54.0,74.0,67.0,RB RM ,Mill,8000000.0,1000.0,RB,30-36,Pro
1099,1099,Campaña,24,77,82,Levante UD,€10M,€21K,66.0,68.0,81.0,75.0,64.0,77.0,73.0,66.0,76.0,CM CAM CDM ,Mill,10000000.0,21000.0,CM,18-24,Pro
1098,1098,A. Mooy,26,77,78,Huddersfield Town,€10.5M,€52K,67.0,75.0,77.0,74.0,69.0,71.0,76.0,70.0,78.0,CAM CDM CM ,Mill,10000000.0,52000.0,CA,24-30,Pro
1096,1096,A. Younes,23,77,81,Ajax,€11.5M,€15K,86.0,55.0,84.0,88.0,62.0,55.0,50.0,75.0,74.0,LW ,Mill,11000000.0,15000.0,LW,18-24,Pro
1083,1083,J. Veltman,25,77,78,Ajax,€8.5M,€13K,63.0,81.0,71.0,68.0,50.0,60.0,72.0,68.0,82.0,CB RB ,Mill,8000000.0,13000.0,CB,24-30,Pro
1095,1095,J. Allen,27,77,78,Stoke City,€10M,€68K,65.0,74.0,77.0,75.0,68.0,63.0,59.0,60.0,86.0,CAM CM ,Mill,10000000.0,68000.0,CA,24-30,Pro
1093,1093,David García,35,77,77,UD Las Palmas,€2.1M,€16K,58.0,80.0,69.0,49.0,50.0,49.0,77.0,55.0,78.0,RB CB ,Mill,2000000.0,16000.0,RB,30-36,Pro
1092,1092,Rafael Carioca,28,77,77,Tigres U.A.N.L.,€9M,€68K,74.0,78.0,77.0,73.0,56.0,76.0,64.0,77.0,78.0,CDM CM ,Mill,9000000.0,68000.0,CD,24-30,Pro
1091,1091,Vallejo,20,77,85,Real Madrid CF,€11.5M,€90K,69.0,74.0,67.0,56.0,44.0,49.0,69.0,77.0,66.0,CB ,Mill,11000000.0,90000.0,CB,18-24,Pro
1090,1090,Z. Feddal,27,77,78,Real Betis Balompié,€8.5M,€24K,46.0,82.0,65.0,56.0,40.0,67.0,79.0,62.0,65.0,LB CB ,Mill,8000000.0,24000.0,LB,24-30,Pro
1089,1089,Vitinho,23,77,84,CSKA Moscow,€12.5M,€46K,78.0,39.0,81.0,83.0,78.0,81.0,65.0,80.0,70.0,CAM ST ,Mill,12000000.0,46000.0,CA,18-24,Pro
1088,1088,Luisinho,32,77,77,RC Deportivo de La Coruña,€4.9M,€24K,72.0,82.0,77.0,77.0,49.0,59.0,57.0,68.0,71.0,LM LB ,Mill,4000000.0,24000.0,LM,30-36,Pro
1087,1087,L. Cattermole,29,77,77,Sunderland,€7M,€13K,66.0,93.0,72.0,64.0,49.0,74.0,78.0,65.0,79.0,CM CDM ,Mill,7000000.0,13000.0,CM,24-30,Pro
1085,1085,D. Pröpper,25,77,80,Brighton & Hove Albion,€11M,€50K,65.0,76.0,82.0,72.0,65.0,82.0,69.0,68.0,89.0,CM ,Mill,11000000.0,50000.0,CM,24-30,Pro
1084,1084,A. Dragović,26,77,80,Leicester City,€9M,€47K,69.0,69.0,68.0,62.0,41.0,69.0,80.0,74.0,73.0,CB ,Mill,9000000.0,47000.0,CB,24-30,Pro
1054,1054,L. Schøne,31,77,77,Ajax,€7.5M,€15K,45.0,65.0,82.0,74.0,70.0,83.0,55.0,55.0,66.0,CDM CM ,Mill,7000000.0,15000.0,CD,30-36,Pro
1053,1053,J. Córdoba,24,77,82,1. FC Köln,€12M,€36K,77.0,90.0,73.0,74.0,69.0,86.0,90.0,84.0,68.0,ST ,Mill,12000000.0,36000.0,ST,18-24,Pro
1052,1052,M. Hasebe,33,77,77,Eintracht Frankfurt,€3.6M,€29K,65.0,73.0,74.0,67.0,45.0,54.0,69.0,61.0,76.0,RB CB CM CDM ,Mill,3000000.0,29000.0,RB,30-36,Pro
1003,1003,T. Partey,24,77,83,Atlético Madrid,€10.5M,€41K,75.0,76.0,77.0,76.0,60.0,76.0,85.0,78.0,84.0,RM CM CDM ,Mill,10000000.0,41000.0,RM,18-24,Pro
1017,1017,Y. Ōsako,27,77,78,1. FC Köln,€10.5M,€41K,77.0,65.0,80.0,80.0,72.0,75.0,64.0,76.0,68.0,CAM ST CF ,Mill,10000000.0,41000.0,CA,24-30,Pro
1016,1016,T. Rincón,29,77,77,Torino,€8.5M,€97K,76.0,82.0,77.0,76.0,45.0,77.0,75.0,72.0,87.0,CDM CM ,Mill,8000000.0,97000.0,CD,24-30,Pro
1014,1014,D. Da Silva,29,77,78,SM Caen,€8M,€26K,47.0,82.0,68.0,42.0,25.0,28.0,75.0,66.0,63.0,CB ,Mill,8000000.0,26000.0,CB,24-30,Pro
1012,1012,M. Lemina,23,77,83,Southampton,€12M,€68K,78.0,70.0,81.0,80.0,55.0,78.0,78.0,78.0,78.0,CDM CM ,Mill,12000000.0,68000.0,CD,18-24,Pro
1011,1011,A. Živković,20,77,86,SL Benfica,€14M,€11K,87.0,52.0,78.0,80.0,67.0,73.0,39.0,84.0,66.0,LM RM ,Mill,14000000.0,11000.0,LM,18-24,Pro
1009,1009,A. Bertolacci,26,77,80,Genoa,€11M,€88K,72.0,69.0,79.0,79.0,62.0,78.0,70.0,76.0,79.0,CDM CM ,Mill,11000000.0,88000.0,CD,24-30,Pro
1007,1007,Badou Ndiaye,26,77,80,Galatasaray SK,€11M,€59K,86.0,69.0,78.0,79.0,74.0,78.0,75.0,85.0,80.0,CDM CM CAM ,Mill,11000000.0,59000.0,CD,24-30,Pro
1006,1006,L. Rémy,30,77,77,UD Las Palmas,€8.5M,€26K,74.0,59.0,72.0,73.0,78.0,76.0,74.0,77.0,66.0,ST ,Mill,8000000.0,26000.0,ST,24-30,Pro
1005,1005,André Pinto,27,77,78,Sporting CP,€8.5M,€17K,50.0,79.0,61.0,44.0,34.0,68.0,91.0,50.0,67.0,CB ,Mill,8000000.0,17000.0,CB,24-30,Pro
1004,1004,Mário Rui,26,77,78,Napoli,€8.5M,€56K,88.0,73.0,73.0,71.0,27.0,69.0,54.0,84.0,92.0,LB ,Mill,8000000.0,56000.0,LB,24-30,Pro
1002,1002,K. Huntelaar,33,77,77,Ajax,€5.5M,€17K,52.0,69.0,75.0,67.0,80.0,80.0,79.0,57.0,60.0,ST ,Mill,5000000.0,17000.0,ST,30-36,Pro
1050,1050,R. Steffen,25,77,79,FC Basel,€11M,€40K,90.0,67.0,77.0,77.0,69.0,75.0,60.0,89.0,82.0,CAM RM LM ,Mill,11000000.0,40000.0,CA,24-30,Pro
1001,1001,Castán,30,77,77,Roma,€6.5M,€56K,60.0,79.0,62.0,53.0,21.0,63.0,83.0,65.0,38.0,CB ,Mill,6000000.0,56000.0,CB,24-30,Pro
1000,1000,Andreas Pereira,21,77,86,Valencia CF,€14M,€86K,73.0,65.0,83.0,82.0,68.0,76.0,67.0,72.0,78.0,CAM CM LM ,Mill,14000000.0,86000.0,CA,18-24,Pro
999,999,A. Song,29,77,77,Rubin Kazan,€7M,€46K,68.0,83.0,76.0,74.0,55.0,68.0,79.0,65.0,68.0,CM CDM ,Mill,7000000.0,46000.0,CM,24-30,Pro
998,998,N. Redmond,23,77,85,Southampton,€13M,€68K,89.0,38.0,79.0,83.0,69.0,71.0,47.0,86.0,72.0,ST RM LM ,Mill,13000000.0,68000.0,ST,18-24,Pro
997,997,Y. Salibur,26,77,78,En Avant de Guingamp,€10.5M,€28K,90.0,46.0,76.0,78.0,73.0,78.0,65.0,84.0,72.0,RW LM RM ,Mill,10000000.0,28000.0,RW,24-30,Pro
996,996,C. Jallet,33,77,77,OGC Nice,€3.4M,€33K,69.0,75.0,77.0,70.0,57.0,73.0,70.0,72.0,76.0,RB ,Mill,3000000.0,33000.0,RB,30-36,Pro
995,995,S. Okazaki,31,77,77,Leicester City,€8M,€74K,76.0,80.0,78.0,77.0,74.0,77.0,69.0,73.0,79.0,ST CF ,Mill,8000000.0,74000.0,ST,30-36,Pro
994,994,D. Torres,27,77,79,Deportivo Alavés,€8.5M,€25K,60.0,87.0,72.0,71.0,55.0,73.0,78.0,57.0,80.0,CM CDM ,Mill,8000000.0,25000.0,CM,24-30,Pro
993,993,M. Elneny,24,77,81,Arsenal,€10M,€76K,58.0,74.0,76.0,68.0,57.0,71.0,73.0,61.0,92.0,CM CDM ,Mill,10000000.0,76000.0,CM,18-24,Pro
992,992,Sergio León,28,77,77,Real Betis Balompié,€9M,€30K,77.0,69.0,76.0,75.0,82.0,75.0,66.0,76.0,75.0,ST ,Mill,9000000.0,30000.0,ST,24-30,Pro
1018,1018,L. Sané,30,77,77,SV Werder Bremen,€6.5M,€29K,52.0,79.0,62.0,61.0,32.0,69.0,80.0,67.0,68.0,CB ,Mill,6000000.0,29000.0,CB,24-30,Pro
1020,1020,J. King,25,77,81,Bournemouth,€11.5M,€69K,87.0,50.0,74.0,77.0,82.0,78.0,77.0,92.0,73.0,CAM CF ST ,Mill,11000000.0,69000.0,CA,24-30,Pro
1021,1021,Bastos,25,77,82,Lazio,€10M,€43K,70.0,73.0,62.0,55.0,30.0,49.0,78.0,73.0,69.0,CB ,Mill,10000000.0,43000.0,CB,24-30,Pro
1022,1022,J. Quintero,24,77,82,Independiente Medellín,€12M,€14K,76.0,43.0,83.0,84.0,64.0,83.0,39.0,72.0,47.0,CAM ,Mill,12000000.0,14000.0,CA,18-24,Pro
1049,1049,H. Nordtveit,27,77,79,TSG 1899 Hoffenheim,€8.5M,€35K,63.0,78.0,71.0,64.0,40.0,72.0,81.0,64.0,79.0,RB CDM CB ,Mill,8000000.0,35000.0,RB,24-30,Pro
1047,1047,P. Verhaegh,33,77,77,VfL Wolfsburg,€3.4M,€55K,68.0,69.0,71.0,72.0,42.0,66.0,70.0,69.0,77.0,RB ,Mill,3000000.0,55000.0,RB,30-36,Pro
1046,1046,J. Geis,23,77,80,Sevilla FC,€9.5M,€32K,53.0,76.0,75.0,64.0,51.0,90.0,76.0,43.0,79.0,CM CDM ,Mill,9000000.0,32000.0,CM,18-24,Pro
1045,1045,R. Martínez,34,77,77,Club Atlético Lanús,€4.3M,€21K,70.0,71.0,77.0,71.0,68.0,73.0,74.0,61.0,72.0,CM ,Mill,4000000.0,21000.0,CM,30-36,Pro
1043,1043,G. Defrel,26,77,79,Roma,€11M,€67K,91.0,49.0,83.0,84.0,78.0,78.0,52.0,87.0,65.0,RW ST ,Mill,11000000.0,67000.0,RW,24-30,Pro
1042,1042,M. Sissoko,27,77,77,Tottenham Hotspur,€9.5M,€84K,75.0,78.0,76.0,78.0,72.0,85.0,88.0,78.0,87.0,CAM RM ,Mill,9000000.0,84000.0,CA,24-30,Pro
1041,1041,C. Sánchez,31,77,77,Fiorentina,€6M,€56K,65.0,80.0,75.0,70.0,48.0,72.0,87.0,68.0,84.0,CB CM CDM ,Mill,6000000.0,56000.0,CB,30-36,Pro
1040,1040,S. Gentiletti,32,77,77,Genoa,€5M,€32K,69.0,80.0,65.0,59.0,13.0,78.0,79.0,69.0,53.0,CB ,Mill,5000000.0,32000.0,CB,30-36,Pro
1039,1039,J. Aquino,27,77,77,Tigres U.A.N.L.,€9.5M,€65K,92.0,59.0,77.0,80.0,64.0,74.0,40.0,91.0,75.0,LM ,Mill,9000000.0,65000.0,LM,24-30,Pro
1036,1036,A. Gamberini,35,77,77,Chievo Verona,€2.1M,€14K,62.0,73.0,55.0,54.0,29.0,69.0,77.0,68.0,53.0,CB ,Mill,2000000.0,14000.0,CB,30-36,Pro
1034,1034,Marçal,28,77,77,Olympique Lyonnais,€7M,€59K,83.0,70.0,76.0,74.0,57.0,76.0,67.0,78.0,85.0,LB ,Mill,7000000.0,59000.0,LB,24-30,Pro
1033,1033,A. Gray,26,77,80,Watford,€11M,€63K,90.0,70.0,70.0,72.0,80.0,80.0,81.0,89.0,79.0,ST ,Mill,11000000.0,63000.0,ST,24-30,Pro
1032,1032,M. Albrighton,27,77,77,Leicester City,€9.5M,€68K,79.0,73.0,77.0,77.0,69.0,72.0,62.0,79.0,86.0,LM ,Mill,9000000.0,68000.0,LM,24-30,Pro
1031,1031,G. İnler,33,77,77,İstanbul Başakşehir FK,€3.6M,€27K,52.0,80.0,77.0,72.0,56.0,85.0,73.0,51.0,65.0,CDM ,Mill,3000000.0,27000.0,CD,30-36,Pro
1030,1030,M. Zárate,30,77,77,Watford,€8.5M,€63K,79.0,66.0,87.0,86.0,78.0,80.0,62.0,75.0,69.0,LM CAM CF ST ,Mill,8000000.0,63000.0,LM,24-30,Pro
1029,1029,M. Politano,23,77,82,Sassuolo,€12M,€52K,85.0,60.0,80.0,83.0,69.0,68.0,38.0,79.0,69.0,RW LW ,Mill,12000000.0,52000.0,RW,18-24,Pro
1027,1027,K. Källström,34,77,77,Djurgårdens IF,€4.3M,€9K,35.0,75.0,81.0,70.0,62.0,84.0,78.0,37.0,62.0,CM ,Mill,4000000.0,9000.0,CM,30-36,Pro
1026,1026,L. Dalsaro,25,77,77,Colo-Colo,€8M,€8K,72.0,77.0,71.0,72.0,56.0,73.0,88.0,72.0,76.0,CM CDM ,Mill,8000000.0,8000.0,CM,24-30,Pro
1025,1025,Montoya,26,77,80,Valencia CF,€9M,€31K,83.0,69.0,73.0,69.0,50.0,83.0,68.0,83.0,79.0,LB RB ,Mill,9000000.0,31000.0,LB,24-30,Pro
1024,1024,G. Nkoudou,22,77,83,Tottenham Hotspur,€12M,€73K,92.0,48.0,75.0,79.0,71.0,72.0,64.0,91.0,71.0,LM ,Mill,12000000.0,73000.0,LM,18-24,Pro
1023,1023,A. Meier,34,77,77,Eintracht Frankfurt,€4.7M,€34K,34.0,60.0,77.0,72.0,81.0,83.0,87.0,40.0,48.0,CAM CF ST ,Mill,4000000.0,34000.0,CA,30-36,Pro
1109,1109,F. Caicedo,28,77,77,Lazio,€9M,€56K,70.0,80.0,77.0,72.0,72.0,84.0,90.0,74.0,66.0,ST ,Mill,9000000.0,56000.0,ST,24-30,Pro
1111,1111,Pablo Fornals,21,77,86,Villarreal CF,€14M,€27K,64.0,72.0,78.0,74.0,72.0,51.0,64.0,58.0,65.0,LM CDM CM CAM ,Mill,14000000.0,27000.0,LM,18-24,Pro
990,990,A. Rukavina,33,77,77,Villarreal CF,€3.4M,€32K,71.0,78.0,71.0,65.0,36.0,63.0,69.0,76.0,70.0,RM LB RB ,Mill,3000000.0,32000.0,RM,30-36,Pro
1179,1179,J. Gouweleeuw,25,77,79,FC Augsburg,€9M,€25K,69.0,73.0,64.0,60.0,48.0,72.0,77.0,76.0,72.0,CB ,Mill,9000000.0,25000.0,CB,24-30,Pro
1190,1190,V. Janssen,23,77,82,Fenerbahçe SK,€12M,€80K,68.0,78.0,75.0,68.0,80.0,83.0,80.0,72.0,76.0,ST ,Mill,12000000.0,80000.0,ST,18-24,Pro
1189,1189,O. Trejo,29,77,77,Rayo Vallecano,€8.5M,€15K,67.0,70.0,80.0,82.0,72.0,73.0,69.0,74.0,84.0,ST CM CAM ,Mill,8000000.0,15000.0,ST,24-30,Pro
1188,1188,O. Ndidi,20,77,86,Leicester City,€12M,€47K,72.0,76.0,72.0,63.0,50.0,78.0,77.0,75.0,88.0,CM CDM ,Mill,12000000.0,47000.0,CM,18-24,Pro
1187,1187,S. Arias,25,77,80,PSV,€9M,€17K,84.0,75.0,74.0,74.0,35.0,56.0,62.0,84.0,88.0,RB ,Mill,9000000.0,17000.0,RB,24-30,Pro
1186,1186,D. Latza,27,77,78,1. FSV Mainz 05,€10M,€32K,69.0,79.0,80.0,71.0,33.0,74.0,68.0,67.0,90.0,CDM CM ,Mill,10000000.0,32000.0,CD,24-30,Pro
1185,1185,L. Milivojević,26,77,81,Crystal Palace,€9.5M,€53K,61.0,85.0,72.0,63.0,54.0,75.0,77.0,63.0,89.0,CM CDM ,Mill,9000000.0,53000.0,CM,24-30,Pro
1184,1184,M. Cáceres,30,77,77,Hellas Verona,€6.5M,€28K,74.0,76.0,64.0,60.0,37.0,70.0,74.0,74.0,72.0,RB CB ,Mill,6000000.0,28000.0,RB,24-30,Pro
1183,1183,Rui Fonte,27,77,78,Fulham,€10.5M,€54K,70.0,73.0,78.0,76.0,76.0,78.0,72.0,71.0,81.0,ST ,Mill,10000000.0,54000.0,ST,24-30,Pro
1181,1181,I. Radovanović,28,77,77,Chievo Verona,€7M,€20K,50.0,79.0,75.0,67.0,40.0,84.0,82.0,68.0,77.0,CM CDM ,Mill,7000000.0,20000.0,CM,24-30,Pro
1180,1180,T. Kongolo,23,77,82,AS Monaco,€10M,€29K,79.0,72.0,69.0,65.0,27.0,67.0,77.0,77.0,77.0,CB LB ,Mill,10000000.0,29000.0,CB,18-24,Pro
1178,1178,Yuri,27,77,78,Paris Saint-Germain,€8M,€67K,79.0,88.0,74.0,66.0,36.0,78.0,77.0,77.0,83.0,LB ,Mill,8000000.0,67000.0,LB,24-30,Pro
1192,1192,C. Ruvios,33,77,77,Colo-Colo,€5.5M,€10K,87.0,42.0,76.0,75.0,73.0,74.0,57.0,74.0,75.0,CF CAM ,Mill,5000000.0,10000.0,CF,30-36,Pro
1177,1177,H. Saivet,26,77,80,Newcastle United,€11M,€68K,75.0,59.0,78.0,79.0,73.0,75.0,69.0,74.0,75.0,CDM CAM CM ,Mill,11000000.0,68000.0,CD,24-30,Pro
1176,1176,Everticinho,29,77,77,Sociedade Esportiva Palmeiras,€6.5M,€37K,84.0,73.0,75.0,76.0,69.0,72.0,68.0,76.0,88.0,CM RM RB ,Mill,6000000.0,37000.0,CM,24-30,Pro
1175,1175,A. Diawara,19,77,87,Napoli,€12M,€30K,73.0,82.0,80.0,76.0,39.0,66.0,71.0,74.0,84.0,CM CDM ,Mill,12000000.0,30000.0,CM,18-24,Pro
1174,1174,S. Davis,32,77,77,Southampton,€6.5M,€79K,65.0,74.0,77.0,76.0,58.0,63.0,67.0,63.0,86.0,CDM CAM CM ,Mill,6000000.0,79000.0,CD,30-36,Pro
1173,1173,Rony Lopes,21,77,84,AS Monaco,€12.5M,€29K,83.0,39.0,79.0,82.0,70.0,74.0,56.0,76.0,66.0,RM ,Mill,12000000.0,29000.0,RM,18-24,Pro
1172,1172,A. Baba,22,77,84,Chelsea,€10.5M,€80K,81.0,73.0,77.0,76.0,48.0,59.0,71.0,83.0,77.0,LM LB ,Mill,10000000.0,80000.0,LM,18-24,Pro
1171,1171,B. André,26,77,79,Stade Rennais FC,€9M,€25K,68.0,75.0,76.0,75.0,61.0,69.0,77.0,73.0,80.0,LM CM CDM ,Mill,9000000.0,25000.0,LM,24-30,Pro
1170,1170,M. Marega,26,77,77,FC Porto,€9.5M,€17K,81.0,88.0,62.0,58.0,79.0,83.0,89.0,86.0,88.0,LM RM ST ,Mill,9000000.0,17000.0,LM,24-30,Pro
1169,1169,S. Bell,25,77,80,1. FSV Mainz 05,€9.5M,€28K,55.0,65.0,55.0,49.0,34.0,65.0,83.0,66.0,65.0,CB ,Mill,9000000.0,28000.0,CB,24-30,Pro
1168,1168,Y. Sankharé,27,77,77,Girondins de Bordeaux,€9M,€45K,65.0,82.0,75.0,75.0,68.0,76.0,79.0,67.0,83.0,CM ,Mill,9000000.0,45000.0,CM,24-30,Pro
1191,1191,G. Clichy,31,77,77,İstanbul Başakşehir FK,€6M,€27K,77.0,55.0,76.0,71.0,34.0,52.0,66.0,81.0,82.0,LB ,Mill,6000000.0,27000.0,LB,30-36,Pro
1193,1193,Otávio,22,77,83,FC Porto,€12M,€14K,77.0,73.0,81.0,83.0,64.0,67.0,53.0,75.0,63.0,CAM LM ,Mill,12000000.0,14000.0,CA,18-24,Pro
1112,1112,Sergi Gómez,25,77,84,RC Celta de Vigo,€10.5M,€23K,51.0,69.0,75.0,56.0,35.0,45.0,78.0,36.0,66.0,CB ,Mill,10000000.0,23000.0,CB,24-30,Pro
1206,1206,O. Alonso,31,77,77,Seattle Sounders FC,€6M,€10K,75.0,84.0,76.0,77.0,50.0,84.0,78.0,75.0,82.0,CM CDM ,Mill,6000000.0,10000.0,CM,30-36,Pro
1216,1216,R. Alessandrini,28,77,77,LA Galaxy,€9M,€11K,88.0,65.0,77.0,77.0,73.0,81.0,58.0,89.0,75.0,LM RM ,Mill,9000000.0,11000.0,LM,24-30,Pro
1215,1215,G. Escalante,24,77,84,SD Eibar,€10.5M,€19K,65.0,86.0,73.0,70.0,56.0,77.0,73.0,68.0,86.0,CM CDM ,Mill,10000000.0,19000.0,CM,18-24,Pro
1214,1214,H. Maguire,24,77,83,Leicester City,€10.5M,€53K,40.0,75.0,64.0,64.0,30.0,54.0,90.0,51.0,72.0,CB ,Mill,10000000.0,53000.0,CB,18-24,Pro
1213,1213,L. Krejčí,24,77,80,Bologna,€11.5M,€52K,86.0,68.0,80.0,82.0,64.0,77.0,47.0,84.0,76.0,RM RW LW ,Mill,11000000.0,52000.0,RM,18-24,Pro
